Title,URL  (nintendo.com or nintendo.co.uk),asset_flip,framerate
puzzle box 3 in 1,https://www.nintendo.com/games/detail/puzzle-box-3-in-1-switch/,x,
puzzle pipes,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Puzzle-Pipes-1989864.html,x,
puzzle plowing a field,https://www.nintendo.com/games/detail/puzzle-plowing-a-field-switch/,x,
pyramids slot machines,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Pyramids-Slot-Machines-2155913.html,x,
ragdoll fighter,https://www.nintendo.com/games/detail/ragdoll-fighter-switch/,x,
rally road crashy car racing,https://www.nintendo.com/games/detail/rally-road-crashy-car-racing-switch/,x,
red ball escape,https://www.nintendo.com/games/detail/red-ball-escape-switch/,x,
retro fighter dragons revenge,https://www.nintendo.com/games/detail/retro-fighter-dragons-revenge-switch/,x,
shadow samurai revenge,https://www.nintendo.com/games/detail/shadow-samurai-revenge-switch/,x,
shark adventure,https://www.nintendo.com/games/detail/shark-adventure-switch/,x,
skittles,https://www.nintendo.com/games/detail/skittles-switch/,x,
solitaire card games,https://www.nintendo.com/games/detail/solitaire-card-games-switch/,x,
space aliens invaders,https://www.nintendo.com/games/detail/space-aliens-invaders-switch/,x,
space wars,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Space-Wars-2031110.html#Gallery,x,
strike daz cans,https://www.nintendo.com/games/detail/strike-daz-cans-switch/,x,
sudoku master,https://www.nintendo.com/games/detail/sudoku-master-switch/,x,
super disc soccer,https://www.nintendo.com/games/detail/super-disc-soccer-switch/,x,
super punch,https://www.nintendo.com/games/detail/super-punch-switch/,x,
super shape shooter,https://www.nintendo.com/games/detail/super-shape-shooter-switch/,x,
sweet sugar candy,https://www.nintendo.com/games/detail/sweet-sugar-candy-switch/,x,
sweets swap,https://www.nintendo.com/games/detail/sweets-swap-switch/,x,
table soccer foosball,https://www.nintendo.com/games/detail/table-soccer-foosball-switch/,x,
tank battle retro,https://www.nintendo.com/games/detail/tank-battle-retro-switch/,x,
team troopers,https://www.nintendo.com/games/detail/team-troopers-switch/,x,
the bullet time of revenge,https://www.nintendo.com/games/detail/the-bullet-time-of-revenge-switch/,x,
titans black op,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Titans-Black-Ops-2028828.html,x,
top down racer,https://www.nintendo.com/games/detail/top-down-racer-switch/,x,
top gun air combat,https://www.nintendo.com/games/detail/top-gun-air-combat-switch/,x,
trigonal,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Trigonal-2161950.html,x,
